N0000171648	C0032046	M0016938	D010923	Placenta Previa
N0000002125	C0027643	M0014579	D009364	Neoplasm Recurrence, Local
N0000181151	C0473527	M0487118	D052456	Hypoalphalipoproteinemias
N0000183451	C3202971	M0551919	D059905	Endocarditis, Non-Infective
N0000000890	C0010674	M0005551	D003550	Cystic Fibrosis
N0000002292	C0030328	M0015818	D010201	Panniculitis, Nodular Nonsuppurative
N0000001077	C0014053	M0007355	D004670	Encephalitis, California
N0000000627	C0006309	M0002989	D002006	Brucellosis
N0000001737	C0022573	M0011965	D007637	Keratoconjunctivitis
N0000003178	C0043349	M0023065	D014985	Xerophthalmia
N0000001362	C0017921	M0009470	D006009	Glycogen Storage Disease Type II
N0000003597	C1510412	M0026603	D017541	Aneurysm, False
N0000001084	C0014068	M0007367	D004678	Encephalomalacia
N0000002917	C0039685	M0021243	D013771	Tetralogy of Fallot
N0000002885	C0039133	M0020976	D013592	Syphilis, Latent
N0000171695	C1564560	M0477405	D050724	Fractures, Cartilage
N0000003783	C0206731	M0027557	D018322	Angiofibroma
N0000011091	C0238198	M0452911	D046152	Gastrointestinal Stromal Tumors
N0000001962	C0025063	M0013199	D008479	Mediastinal Neoplasms
N0000001623	C0020551	M0010872	D006981	Hyperthyroxinemia
N0000000545	C0005396	M0002479	D001650	Bile Duct Neoplasms
N0000000762	C0008370	M0004258	D002779	Cholestasis
N0000000964	C0011992	M0006213	D003968	Diarrhea, Infantile
N0000000428	C0003164	M0001304	D000874	Anthracosilicosis
N0000183374	C0155448	M0549110	D059270	Petrositis
N0000000309	C0001429	M0000366	D000235	Adenolymphoma
N0000003471	C0085306	M0025557	D016766	Feline Infectious Peritonitis
N0000003216	C0041364	M0023515	D015275	Tumor Lysis Syndrome
N0000002107	C0027345	M0014432	D009265	Nairobi Sheep Disease
N0000003006	C0040830	M0021872	D014205	Trench Fever
N0000183391	C0239137	M0555794	D060906	Coxa Valga
N0000003958	C0339543	M0029341	D019773	Epiretinal Membrane
N0000181061	C0175693	M0528886	D056730	Silver-Russell Syndrome
N0000001774	C0022904	M0012135	D007766	Lacrimal Apparatus Diseases
N0000011109	C1257915	M0445225	D044483	Intestinal Polyposis
N0000171696	C0016658	M0477404	D050723	Fractures, Bone
N0000002431	C0032273	M0017057	D011009	Pneumoconiosis
N0000003549	C0162631	M0026101	D017196	Rhabditida Infections
N0000181079	C0263454	M0505727	D054506	Chloracne
N0000000782	C0008582	M0004392	D002862	Chromoblastomycosis
N0000171630	C0149931	M0013864	D008881	Migraine Disorders
N0000001401	C0018522	M0009760	D006210	Hallermann's Syndrome
N0000000703	C0007528	M0003709	D002430	Cecal Neoplasms
N0000002358	C0031030	M0016289	D010485	Periapical Periodontitis
N0000183414	C0549410	M0555609	D060831	Hand-Foot Syndrome
N0000001311	C0017105	M0008993	D005738	Gas Gangrene
N0000001526	C0019338	M0010275	D006557	Herpangina
N0000004152	C0030508	M0328249	D020447	Parasomnias
N0000002639	C0035468	M0019026	D012226	Rhinoscleroma
N0000002832	C0038362	M0020550	D013280	Stomatitis
N0000171649	C1399870	M0483659	D052202	Hydrocolpos
N0000000383	C0002831	M0001101	D000724	Ancylostomiasis
N0000001300	C0016879	M0008917	D005674	Fusobacterium Infections
N0000003781	C0206729	M0027554	D018319	Neurofibrosarcoma
N0000001012	C0013336	M0006897	D004392	Dwarfism
N0000000956	C1263960	M0006158	D003926	Diabetic Coma
N0000002074	C0026945	M0014312	D009180	Mycoplasmatales Infections
N0000002275	C0030100	M0015707	D010123	Oxyuriasis
N0000002551	C0034124	M0333811	D011681	Pupil Disorders
N0000004134	C0700501	M0328317	D020417	Nystagmus, Congenital
N0000000753	C0008074	M0004062	D002659	Child Development Disorders, Pervasive
N0000011100	C0281865	M0376671	D025981	Hip Injuries
N0000181237	C1720922	M0487803	D053120	Respiratory Aspiration
N0000001329	C0017525	M0009221	D005870	Giant Cell Tumors
N0000001574	C0020429	M0010809	D006930	Hyperalgesia
N0000011125	C0276046	M0460596	D048089	Pneumonia of Calves, Enzootic
N0000011004	C1135841	M0397313	D031368	Zoster Sine Herpete
N0000003601	C0162872	M0026608	D017545	Aortic Aneurysm, Thoracic
N0000003922	C0376551	M0028804	D019351	Rubulavirus Infections
N0000002784	C0037753	M0020195	D013031	Sparganosis
N0000001692	C0021645	M0011427	D007331	Insulin Coma
N0000001728	C0022410	M0011861	D007593	Joint Instability
N0000001655	C0020678	M0010950	D007039	Hypotrichosis
N0000183367	C0026858	M0549551	D059352	Musculoskeletal Pain
N0000181092	C0266929	M0514036	D055113	Chronic Periodontitis
N0000003109	C0042344	M0022529	D014647	Varicose Ulcer
N0000003999	C0600502	M0029879	D020141	Hemostatic Disorders
N0000002622	C0035361	M0018977	D012188	Retropneumoperitoneum
N0000000754	C0008149	M0004107	D002690	Chlamydia Infections
N0000002127	C0027645	M0014581	D009366	Neoplasm Seeding
N0000004192	C0270629	M0328385	D020802	Epidural Abscess
N0000001302	C3665358	M0008935	D005687	Galactorrhea
N0000002537	C0034041	M0018114	D011645	Puerperal Infection
N0000001008	C0013295	M0006885	D004381	Duodenal Ulcer
N0000002752	C0037118	M0019863	D012830	Silicotuberculosis
N0000003130	C0042790	M0022771	D014786	Vision Disorders
N0000002999	C0040592	M0021752	D014141	Trachoma
N0000002397	C0031873	M0016832	D010842	Pica
N0000181048	C0149925	M0520106	D055752	Small Cell Lung Carcinoma
N0000001334	C0040517	M0009230	D005879	Tourette Syndrome
N0000004168	C0242422	M0328250	D020734	Parkinsonian Disorders
N0000000911	C0011175	M0005757	D003681	Dehydration
N0000003054	C0041341	M0022136	D014402	Tuberous Sclerosis
N0000000668	C0007118	M0003432	D002281	Carcinoma, Basosquamous
N0000189372	C0341299	M0578082	D064068	Collagenous Sprue
N0000000974	C0012243	M0006375	D004067	Digestive System Neoplasms
N0000002199	C0028738	M0015138	D009759	Nystagmus, Pathologic
N0000002986	C0040485	M0021710	D014103	Torticollis
N0000000794	C0008928	M0004550	D002973	Cleidocranial Dysplasia
N0000003325	C0038579	M0024229	D015819	Substance Abuse, Intravenous
N0000171691	C0018621	M0009814	D006255	Rhinitis, Allergic, Seasonal
N0000004244	C0872315	M0355553	D021821	Communicable Diseases, Emerging
N0000002954	C0040213	M0021529	D013991	Tietze's Syndrome
N0000002835	C0038366	M0020554	D013283	Stomatitis, Herpetic
N0000002151	C0027709	M0014631	D009397	Nephrocalcinosis
N0000183445	C3178962	M0554199	D060487	Alternariosis
N0000002900	C0039338	M0021062	D013651	Taste Disorders
N0000181056	C0158266	M0523534	D055959	Intervertebral Disc Degeneration
N0000003022	C0041170	M0022028	D014323	Trombiculiasis
N0000002910	C0039520	M0021165	D013717	Tenosynovitis
N0000002295	C0030354	M0015836	D010212	Papilloma
N0000001883	C0024121	M0012749	D008175	Lung Neoplasms
N0000000856	C1956346	M0502868	D003324	Coronary Artery Disease
N0000000969	C0012147	M0006322	D004030	Dientamoebiasis
N0000003442	C0030319	M0025297	D016584	Panic Disorder
N0000002544	C0034069	M0018134	D011658	Pulmonary Fibrosis
N0000003662	C0206615	M0027415	D018186	Pneumovirus Infections
N0000002224	C0029106	M0015338	D009889	Opisthorchiasis
N0000000370	C0002534	M0000934	D000608	Renal Aminoacidurias
N0000182176	C0265221	M0542866	D058494	Walker-Warburg Syndrome
N0000010216	C0022925			Lactation
N0000010991	C0949804	M0380372	D027601	Polyomavirus Infections
N0000003348	C0030593	M0024296	D015868	Pars Planitis
N0000181087	C0265344	M0528899	D056731	Donohue Syndrome
N0000002665	C0036114	M0019391	D012478	Salmonella Food Poisoning
N0000003256	C0023493	M0023816	D015459	Leukemia-Lymphoma, Adult T-Cell
N0000010941	C1306571	M0461663	D048550	Hepatic Insufficiency
N0000003903	C0376480	M0028618	D019214	Gingival Overgrowth
N0000004097	C0205770	M0009274	D020288	Papilloma, Choroid Plexus
N0000002569	C0034531	M0018383	D011833	Radiation Injuries, Experimental
N0000000270	C0000810	M0000033	D000027	Abortion, Incomplete
N0000001209	C0015625	M0008227	D005199	Fanconi Anemia
N0000000342	C0001825	M0000581	D000381	Agraphia
N0000001724	C0022373	M0011839	D007579	Jejunal Diseases
N0000003646	C0206368	M0027032	D017889	Exfoliation Syndrome
N0000002355	C0031024	M0016283	D010482	Periapical Abscess
N0000181102	C0268532	M0528902	D056732	Prolidase Deficiency
N0000000892	C2931187	M0005556	D003554	Cystinosis
N0000003694	C0206645	M0027449	D018220	Fibroma, Desmoplastic
N0000003675	C0206628	M0027430	D018201	Nephroma, Mesoblastic
N0000004091	C0751870	M0328330	D020271	Heredodegenerative Disorders, Nervous System
N0000002744	C0037054	M0019829	D012805	Sickle Cell Trait
N0000000661	C0007078	M0003412	D002270	Carbuncle
N0000181159	C0521607	M0528147	D056627	Peritoneal Fibrosis
N0000001240	C2909036	M0008415	D005330	Fetofetal Transfusion
N0000002232	C0029184	M0015378	D009917	Orbital Fractures
N0000003569	C0162739	M0026355	D017359	HELLP Syndrome
N0000003686	C0206638	M0027441	D018212	Giant Cell Tumor of Bone
N0000171628	C0021400	M0011309	D007251	Influenza, Human
N0000001667	C0021051	M0011155	D007153	Immunologic Deficiency Syndromes
N0000001582	C0020450	M0010820	D006939	Hyperemesis Gravidarum
N0000001589	C0020459	M0010827	D006946	Hyperinsulinism
N0000000805	C0232488	M0004742	D003085	Colic
N0000183402	C0273487	M0556739	D061219	Olfactory Nerve Injuries
N0000003096	C0042143	M0022435	D014597	Uterine Rupture
N0000002246	C0029412	M0015513	D010005	Osteoarthropathy, Secondary Hypertrophic
N0000001153	C0014818	M0007724	D004919	Erythroplasia
N0000000410	C0002985	M0001190	D000794	Angiokeratoma
N0000002243	C0029405	M0015508	D010002	Osteitis Fibrosa Cystica
N0000001484	C0032797	M0010156	D006473	Postpartum Hemorrhage
N0000011038	C0400821	M0455261	D046728	Colitis, Microscopic
N0000002438	C0032306	M0017074	D011021	Pneumonia, Progressive Interstitial, of Sheep
N0000001849	C0023786	M0012558	D008059	Mucopolysaccharidosis I
N0000003080	C0042025	M0022371	D014550	Urinary Incontinence, Stress
N0000000604	C0006110	M0002873	D001926	Brain Death
N0000002868	C0038987	M0020921	D013544	Sweat Gland Neoplasms
N0000001568	C0020295	M0010730	D006869	Hydronephrosis
N0000001831	C0023510	M0012409	D007960	Leukocyte Disorders
N0000001196	C0015468	M0008124	D005157	Facial Pain
N0000002643	C0035579	M0019095	D012279	Rickets
N0000002805	C0037998	M0020369	D013159	Splenic Infarction
N0000003852	C0242992	M0028112	D018777	Multiple Chemical Sensitivity
N0000010938	C0238156	M0335257	D046648	Hematoma, Subdural, Intracranial
N0000004056	C0161398	M0328320	D020221	Optic Nerve Injuries
N0000002980	C0040451	M0021696	D014091	Tooth Resorption
N0000003316	C0035313	M0024192	D015792	Retinal Dysplasia
N0000181128	C0339527	M0534720	D057130	Leber Congenital Amaurosis
N0000003223	C0013238	M0023637	D015352	Dry Eye Syndromes
N0000002078	C0026976	M0014322	D009188	Myelitis, Transverse
N0000001453	C0018922	M0010035	D006393	Hemangiopericytoma
N0000003113	C0042384	M0022540	D014657	Vasculitis
N0000001074	C0014009	M0007327	D004653	Empyema
N0000010987	C0023976	M0012684	D008133	Long QT Syndrome
N0000003186	C0043528	M0023156	D015047	Zoonoses
N0000002083	C0027030	M0014334	D009198	Myiasis
N0000002286	C0030290	M0015798	D010185	Pancreatic Fistula
N0000003738	C1328479	M0027504	D018273	Carcinoma, Islet Cell
N0000001265	C0016397	M0008656	D005490	Focal Infection
N0000000597	C0006060	M0002846	D001907	Boutonneuse Fever
N0000004187	C0752165	M0328062	D020787	Central Nervous System Venous Angioma
N0000002976	C0040441	M0021681	D014082	Tooth Fractures
N0000001740	C0022578	M0011968	D007640	Keratoconus
N0000000298	C0001249	M0000282	D000189	Actinobacillus Infections
N0000001916	C0024421	M0012867	D008260	Macroglossia
N0000002039	C0026650	M0014141	D009069	Movement Disorders
N0000003769	C0206718	M0027539	D018305	Ganglioneuroblastoma
N0000001594	C0020476	M0010833	D006951	Hyperlipoproteinemias
N0000000354	C0002016	M0000690	D000453	Aleutian Mink Disease
N0000003833	C0242770	M0027812	D018549	Cryptogenic Organizing Pneumonia
N0000000281	C0001080	M0000205	D000130	Achondroplasia
N0000004013	C0268548	M0328331	D020162	Hyperargininemia
N0000001217	C0015695	M0008275	D005234	Fatty Liver
N0000001290	C0016667	M0008811	D005600	Fragile X Syndrome
N0000000421	C0003123	M0001278	D000855	Anorexia
N0000001248	C0016057	M0008451	D005354	Fibrosarcoma
N0000002120	C0027609	M0014568	D009357	Neonatal Abstinence Syndrome
N0000010973	C0265252	M0417790	D038921	Coffin-Lowry Syndrome
N0000000288	C0001144	M0000231	D000152	Acne Vulgaris
N0000000715	C0007766	M0003870	D002532	Intracranial Aneurysm
N0000003501	C0085411	M0025698	D016888	Angiodysplasia
N0000002289	C0030299	M0015805	D010192	Pancreatic Pseudocyst
N0000001783	C0023052	M0012228	D007819	Laryngeal Edema
N0000003195	C0038874	M0023322	D015173	Supratentorial Neoplasms
N0000003722	C2718092	M0027479	D018250	Acrospiroma
N0000011005	C1136154	M0411809	D037081	Posterior Tibial Tendon Dysfunction
N0000002212	C0028887	M0015232	D009814	Oesophagostomiasis
N0000182166	C0154832	M0542463	D058456	Retinal Telangiectasis
N0000000643	C0006635	M0003132	D002105	Cadmium Poisoning
N0000003621	C0206146	M0026743	D017682	Myocardial Stunning
N0000002971	C0040428	M0021670	D014072	Tooth Abrasion
N0000003862	C0025268	M0028166	D018813	Multiple Endocrine Neoplasia Type 2a
N0000003374	C0080174	M0024645	D016136	Spina Bifida Occulta
N0000001874	C0024025	M0012706	D008146	Louping Ill
N0000002776	C0037354	M0019977	D012899	Smallpox
N0000003614	C0206094	M0026669	D017600	Neuroectodermal Tumor, Melanotic
N0000000789	C0008733	M0004457	D002916	Chylothorax
N0000003196	C0014536	M0023324	D015174	Epidural Neoplasms
N0000001990	C0025309	M0013374	D008590	Meningoencephalitis
N0000003559	C0162670	M0026160	D017240	Mitochondrial Myopathies
N0000001134	C0014571	M0007593	D004839	Epiphyses, Slipped
N0000002148	C0027706	M0014627	D009394	Nephritis, Hereditary
N0000001228	C0015807	M0008314	D005266	Femoral Neoplasms
N0000004175	C0221069	M0328098	D020759	Anterior Spinal Artery Syndrome
N0000004002	C0472377	M0328154	D020145	Basal Ganglia Hemorrhage
N0000000836	C0009768	M0005021	D003234	Conjunctivitis, Bacterial
N0000002899	C0039319	M0021049	D013641	Tarsal Tunnel Syndrome
N0000001710	C0022081	M0011717	D007500	Iritis
N0000003735	C0206686	M0027496	D018268	Adrenocortical Carcinoma
N0000004026	C0751772	M0328285	D020187	REM Sleep Behavior Disorder
N0000001871	C0023968	M0012661	D008118	Loiasis
N0000001500	C0019159	M0010206	D006506	Hepatitis A
N0000003341	C0003081	M0024284	D015858	Anisometropia
N0000003230	C0029125	M0023768	D015418	Optic Atrophies, Hereditary
N0000003046	C0041324	M0022128	D014394	Tuberculosis, Osteoarticular
N0000002597	C0035222	M0018891	D012128	Respiratory Distress Syndrome, Adult
N0000003064	C0041657	M0022251	D014474	Unconsciousness
N0000171701	C0271097	M0483844	D052245	Usher Syndromes
N0000001351	C0017658	M0009300	D005921	Glomerulonephritis
N0000003126	C0042749	M0022739	D014766	Viremia
N0000001662	C0020877	M0011025	D007079	Ileitis
N0000001102	C0014175	M0007413	D004715	Endometriosis
N0000003034	C0041309	M0022111	D014382	Tuberculosis, Cutaneous
N0000003859	C0162316	M0028144	D018798	Anemia, Iron-Deficiency
N0000182199	C0545080	M0543662	D058617	Composite Lymphoma
N0000001202	C0015523	M0008157	D005173	Factor XI Deficiency
N0000001100	C0014132	M0007397	D004701	Endocrine Gland Neoplasms
N0000183382	C0178417	M0550139	D059445	Anhedonia
N0000001143	C0014736	M0007678	D004889	Erysipelothrix Infections
N0000001579	C0020441	M0010817	D006936	Hypercementosis
N0000182221	C1704436	M0490511	D058729	Peripheral Arterial Disease
N0000002479	C0032963	M0017475	D011249	Pregnancy Complications, Cardiovascular
N0000003760	C0206711	M0027530	D018296	Pilomatrixoma
N0000002144	C0027671	M0014612	D009385	Neoplastic Processes
N0000002766	C0037280	M0019937	D012876	Skin Diseases, Parasitic
N0000003332	C0042168	M0024247	D015829	Uveitis, Suppurative
N0000003746	C0206699	M0027513	D018282	Cystadenocarcinoma, Mucinous
N0000001817	C0023421	M0012384	D007940	Leukemia L5178
N0000001277	C0016514	M0008725	D005536	Foot-and-Mouth Disease
N0000003945	C0151740	M0029084	D019586	Intracranial Hypertension
N0000004065	C1510417	M0328397	D020235	Gait Apraxia
N0000001815	C0023418	M0012382	D007938	Leukemia
N0000003887	C0282607	M0028432	D019043	Vascular Neoplasms
N0000002994	C0040582	M0021745	D014134	Tracheal Neoplasms
N0000011035	C0271760	M0452909	D047268	Lingual Goiter
N0000001975	C0025239	M0013328	D008557	Melorheostosis
N0000001221	C0015734	M0008283	D005244	Fecal Impaction
N0000004080	C0235032	M0328313	D020258	Neurotoxicity Syndromes
N0000002796	C0037932	M0020314	D013121	Spinal Curvatures
N0000003016	C0040962	M0021949	D014263	Tricuspid Valve Prolapse
N0000000776	C0008513	M0004342	D002825	Chorioretinitis
N0000181140	C0393911	M0335522	D054970	Pure Autonomic Failure
N0000001954	C0024958	M0013138	D008444	Maxillary Sinus Neoplasms
N0000002262	C0029464	M0015555	D010026	Osteosclerosis
N0000003732	C0206683	M0027493	D018265	Carcinoma, Papillary, Follicular
N0000003552	C0162636	M0026109	D017205	Spirurida Infections
N0000003527	C0085605	M0025970	D017093	Liver Failure
N0000002254	C0029441	M0015542	D010017	Osteoma, Osteoid
N0000000445	C0003507	M0001557	D001024	Aortic Valve Stenosis
N0000000358	C0002170	M0000757	D000505	Alopecia
N0000002681	C0036262	M0019458	D012532	Scabies
N0000001133	C0014557	M0007580	D004834	Epilepsy, Post-Traumatic
N0000002346	C0030805	M0016111	D010391	Pemphigoid, Bullous
N0000001591	C0424295	M0010829	D006948	Hyperkinesis
N0000181249	C1839259	M0518289	D055534	Bulbo-Spinal Atrophy, X-Linked
N0000001981	C0025289	M0013365	D008581	Meningitis
N0000002674	C0553580	M0019433	D012512	Sarcoma, Ewing
N0000001681	C0009450	M0011294	D007239	Infection
N0000003086	C0042075	M0022400	D014570	Urologic Diseases
N0000001098	C0014122	M0007394	D004698	Endocarditis, Subacute Bacterial
N0000003267	C0023467	M0023827	D015470	Leukemia, Myeloid, Acute
N0000011106	C0969753	M0387005	D030341	Nidovirales Infections
N0000002093	C0027095	M0014359	D009217	Myosarcoma
N0000000618	C0006267	M0002968	D001987	Bronchiectasis
N0000003388	C0080040	M0024855	D016262	Postpoliomyelitis Syndrome
N0000003703	C0206653	M0027458	D018229	Angiomyoma
N0000002069	C0026884	M0014276	D009155	Mutism
N0000003292	C0162494	M0023943	D015597	Pregnancy Complications, Parasitic
N0000001173	C0015300	M0008034	D005094	Exophthalmos
N0000002600	C0035232	M0018899	D012133	Respiratory Paralysis
N0000001942	C0024776	M0013019	D008375	Maple Syrup Urine Disease
N0000003274	C0020097	M0023852	D015490	HTLV-I Infections
N0000003811	C0149697	M0027638	D018409	Foot Injuries
N0000000390	C0002882	M0001130	D000746	Anemia, Hemolytic, Congenital Nonspherocytic
N0000000757	C0008309	M0004226	D002759	Adenoma, Bile Duct
N0000001212	C0015645	M0008239	D005208	Fasciitis
N0000004126	C0270932	M0328230	D020364	Paraneoplastic Polyneuropathy
N0000001820	C0023443	M0012387	D007943	Leukemia, Hairy Cell
N0000002049	C0026755	M0014194	D009100	Multiple Carboxylase Deficiency
N0000002060	C0026837	M0014242	D009127	Muscle Rigidity
N0000002460	C0032587	M0017243	D011129	Polyradiculoneuropathy
N0000000804	C2350019	M0518864	D003074	Solitary Pulmonary Nodule
N0000004210	C0752242	M0328455	D020857	Hallux Limitus
N0000004179	C0752138	M0328607	D020765	Intracranial Arterial Diseases
N0000189368	C0238417	M0585473	D065008	Scorpion Stings
N0000010200	C0015780			Female Gender
N0000002417	C0032131	M0016982	D010954	Plasmacytoma
N0000002964	C0040409	M0021657	D014060	Tongue Diseases
N0000002613	C0035333	M0018959	D012173	Retinitis
N0000000439	C0003492	M0001549	D001017	Aortic Coarctation
N0000004146	C0702136	M0328652	D020432	Trochlear Nerve Diseases
N0000001510	C0019202	M0010235	D006527	Hepatolenticular Degeneration
